month,counts,Total_Rain
1/31/2020,289,31.30990827
2/28/2020,801,10.78355243
3/31/2020,1002,33.11292227
4/30/2020,1077,79.28792028
5/31/2020,1351,26.81097695
6/30/2020,747,71.37352145
7/31/2020,768,193.1023032
8/31/2020,0,0
9/30/2020,0,0
10/31/2020,0,0
11/30/2020,0,0
12/31/2020,0,0
