month,counts,Total_Rain
1/31/2020,125,36.45
2/28/2020,154,0
3/31/2020,206,0
4/30/2020,232,0
5/31/2020,351,19.49624356
6/30/2020,1768,36.95891748
7/31/2020,482,200.3060728
8/31/2020,469,281.5815597
9/30/2020,232,353.4475512
10/31/2020,1170,337.5233544
11/30/2020,241,61.29543934
12/31/2020,378,32.77987004
